"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 60.057019924228 61.8302525864252 62.7954739276152 63.5331379802883 63.7818901785958 65.995763313426 66.021212403276 66.5653319904885 68.522797622557 69.6976497822913 69.3679807297634 71.9656977897416 72.32376043144 73.9121135785393 76.7964584435094 77.9413512062862 77.7114799014576 78.7751347363043 79.7534135228636 79.785632713507
"2" 62.0971445589833 62.1641957383609 65.2177576273994 64.933550818686 64.0780590808871 68.9094879100597 64.6616595756108 67.6990565434166 69.6253971385959 70.0609690199637 70.3764049987168 73.5907271920698 72.0593929294911 72.1811115966239 74.3523157445752 76.8088020963812 79.7687042965142 78.8367076683426 79.6841164477002 81.014136497758
"3" 61.8458113398948 61.9024026156388 63.5695716052557 63.882627793413 65.3071157014863 66.9699920470315 66.7585874443453 69.1613460265432 69.576487636814 71.6147352216266 70.6874455972391 73.078715708111 74.2318403920901 73.6705800158068 73.9133744771547 77.0007330552534 76.8190215188114 78.8116766932978 78.7663044655347 79.9000932553064
"4" 62.3010734458573 61.8599697414761 62.6316398771766 66.8287748532131 64.8557393401691 66.2603374369443 66.4929382138467 67.4976899537716 69.7638014744893 72.2657597290805 72.0985462765665 71.839170467651 72.565747639101 73.5088551799805 74.1744382341074 76.3243255729749 76.5970780495652 77.3289990911547 79.3297718699588 79.749640886534
"5" 61.3764943176069 61.7056230039936 63.0759576505734 65.3803637712667 64.1705388123045 67.3133577962881 66.0770405291784 67.7619270076719 68.8850578391148 70.6926222281317 70.8626234036794 72.0846856645588 72.6268065035275 71.4887730836893 74.9065922648027 75.749320882569 76.1332443530171 76.8845451425383 77.3881924048066 78.326848765394
"6" 60.9873678181235 61.5467739333983 62.9479768349445 62.8145450071367 61.900082825663 65.8209432030517 65.037761183892 67.8767129319027 68.6090583606753 69.4480744925474 73.5113332537785 70.872589276798 73.3237905429765 75.3305019731168 74.4206489180333 75.4750323098998 74.6649572561533 78.345883227258 78.2717863068387 80.232602401
"7" 61.1294300847398 61.3303729308822 63.3666013204979 63.1650200947045 65.7565500361539 65.3699641757284 68.9686813392761 67.3392898149355 69.1051312384249 69.2726285923549 71.6627604001864 71.6153448981588 72.9899118196329 73.5288319929521 76.4370858318773 75.8799809559628 77.1288204712933 79.2727789187309 76.8357877565995 80.0523212953028
"8" 59.5798054084881 62.7635581969112 61.9704420824933 63.2356358968549 64.9958341222864 64.8840861955896 67.0322790772998 69.9557050667429 67.4548530884634 70.9395098701236 70.375222080581 72.9658385934751 72.4338166937607 73.1755919357447 72.1453624269356 75.5605307417587 77.814357693638 77.371601203964 79.4906697009119 81.0944990281796
"9" 61.7126249199558 60.7365656883934 62.5603299567038 63.3421912190992 64.4785480229104 66.147421937056 66.1354348056103 69.85359933681 67.4224184678991 71.0274630958253 72.106269062434 69.3321228200585 74.1923952480461 73.0782170005674 75.7723973044617 75.7565858608507 76.4595838349442 78.6155202290566 79.3301878780642 79.8821199255308
"10" 60.680768911802 61.3066387999893 63.6925841389168 63.8697054167707 64.6573065294362 63.8028074722952 67.577128585178 67.1689595180247 68.0194932333356 69.7519227575524 69.9001494695586 72.6964682549086 72.4530453527102 74.9477772873322 73.1785096310703 77.6169981066788 75.6646048075922 78.2865070954596 77.8407460996974 78.2942032413373
